Time,Pre,Actual
2019/9/29,36.8208,37.609375
2019/9/30,34.57246,34.328125
2019/10/1,32.50325,38.148438
2019/10/2,36.056225,41.039062
2019/10/3,40.086987,40.921875
2019/10/4,46.8652,44.539062
2019/10/5,43.24854,55.320312
2019/10/6,54.251072,56.570312
2019/10/7,52.90301,57.304688
2019/10/8,52.78568,53.921875
2019/10/9,54.168873,53.101562
2019/10/10,51.999577,54.890625
2019/10/11,49.048546,50.1875
2019/10/12,44.041946,45.492188
2019/10/13,39.895927,40.984375
2019/10/14,38.143826,42.054688
2019/10/15,40.29005,43.867188
2019/10/16,41.406292,55.015625
2019/10/17,48.762108,51.695312
2019/10/18,46.127754,46.828125
2019/10/19,43.231213,42.5
2019/10/20,39.41537,38.703125
2019/10/21,35.2088,34.921875
2019/10/22,32.309673,33.890625
2019/10/23,31.571447,31.523438
2019/10/24,35.670795,35.351562
2019/10/25,37.73807,38.554688
2019/10/26,36.13567,38.328125
2019/10/27,34.710598,37.101562
2019/10/28,33.055542,34.679688
2019/10/29,30.620634,31.5
2019/10/30,28.387486,28.359375
2019/10/31,25.391047,25.515625
2019/11/1,24.580406,28.117188
2019/11/2,26.296888,27.757812
2019/11/3,24.940413,25.351562
2019/11/4,22.847256,23.148438
2019/11/5,21.265062,21.03125
2019/11/6,21.942335,25.007812
2019/11/7,24.343176,26.6875
2019/11/8,24.397646,24.945312
2019/11/9,23.959938,23.5
2019/11/10,22.911638,23.515625
2019/11/11,21.558317,21.84375
2019/11/12,21.744287,20.273438
2019/11/13,19.9368,19.414062
2019/11/14,17.999746,17.8125
2019/11/15,16.246979,16.078125
2019/11/16,14.868115,14.5
2019/11/17,14.980103,13.421875
2019/11/18,13.301139,12.34375
2019/11/19,11.5994215,11.6484375
2019/11/20,11.323051,12.5703125
2019/11/21,12.568039,12.203125
2019/11/22,11.811153,11.28125
2019/11/23,11.360415,10.578125
2019/11/24,9.925372,11.6484375
2019/11/25,9.489887,11.328125
2019/11/26,9.500065,10.6015625
2019/11/27,9.63823,10.5703125
2019/11/28,10.502593,10.578125
2019/11/29,11.2967,10.71875
2019/11/30,10.801557,10.6875
2019/12/1,9.73466,10.34375
2019/12/2,9.293256,10
2019/12/3,9.197758,9.7109375
2019/12/4,9.239924,9.53125
2019/12/5,9.143631,9.359375
2019/12/6,8.951535,9.2578125
