asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
299.543365,79.8468094,299.543365,0.0000324,0.0000171,940.24,26.04,30.21,23.2,23.39,43.375,119.90625,147,626.375,1170.7969,2852.875
301.097931,113.072525,301.097931,0.0000458,0.0000253,938.73,26.69,31.13,23.99,23.9,40.546875,113.125,139.1875,595.34375,1120.0938,2736.3125
302.007843,179.501038,302.007843,0.0000728,0.0000359,939.88,28.55,32.79,24.46,22.8,39.046875,106.46875,130.625,556.5156,1054.1562,2596.7812
299.950562,171.8815,299.950562,0.0000697,0.0000403,943.37,26.63,31.2,22.98,20.66,39.890625,107.484375,131.3125,538.4844,983.3281,2434.1719
300.096375,90.2626038,300.096375,0.0000366,0.0000204,943.2,26.47,30.83,23.2,23.58,37.328125,99.8125,123.375,563.7344,931.5156,2284.1719
300.138397,111.002251,300.138397,0.000045,0.0000243,939.84,26.38,30.06,23.23,23.61,34.40625,91.53125,113.203125,554.9375,909.4844,2179.7344
301.007172,125.321014,301.007172,0.0000508,0.00003,937.22,27.54,31.55,23.39,23.37,31.875,84.6875,104.734375,524.9531,880.71875,2102.125
301.898254,137.556229,301.898254,0.0000558,0.000034,936.56,28.4,32.41,24.56,23.8,29.75,78.578125,97.28125,489.46875,834.8594,2014.0469
302.713654,159.110687,302.713654,0.0000645,0.0000402,936.55,29.18,33.42,25.43,24.17,27.65625,72.546875,89.890625,456.4375,780.2969,1908.3438
302.533661,205.589584,302.533661,0.0000834,0.0000531,936.83,29.5,33.69,25.28,24.38,25.890625,67.921875,84.0625,428.34375,731.4219,1814.7812
302.560913,192.602219,302.560913,0.0000781,0.0000509,936.64,29.53,33.73,26.01,24.22,34.171875,84.15625,100.0625,445.9375,691.6406,1743.6875
301.469635,155.417038,301.469635,0.000063,0.0000383,935.9,28.75,33.35,24.75,24.13,62.421875,151.42188,170.3125,610.34375,713.71875,1722.3438
296.712646,84.8460922,296.712646,0.0000344,0.00000857,941.04,22.7,25.48,20.04,19.58,80.5625,202.79688,235.46875,851.6719,897.53125,1934.6719
297.71524,117.788589,297.71524,0.0000478,0.0000293,941.77,25.33,29.12,21.99,20.75,79.953125,205.10938,244.09375,986.71875,1182.0156,2402.2969
298.415192,86.6206894,298.415192,0.0000351,0.000019,940.73,25.22,27.9,23.2,22.35,71.375,184.45312,220.70312,944.5,1319.2812,2808.9219
299.227234,54.413559,299.227234,0.0000221,0.0000108,940.61,24.82,28.49,22.55,22.74,63.140625,163.95312,195.9375,853.5156,1264.4688,2841.9844
299.537842,93.0309601,299.537842,0.0000377,0.0000164,941.35,26.62,30.06,23.83,22.88,57.875,152.23438,181.15625,854.875,1195.8125,2741.4375
298.723602,86.1910477,298.723602,0.0000349,0.0000155,943.73,25.7,29.51,22.95,21.36,65.75,175.0625,206.125,1110.1406,1249.9062,2851.3594
299.568512,110.189072,299.568512,0.0000447,0.0000219,942.58,25.66,29.61,21.34,22.89,83.703125,229.07812,269.875,1461.3125,1543.0781,3363.9531
