asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
302.359894,302.359894,30.27,26.73,23.35,83.703125,229.07812,269.875,1461.3125,1543.0781,3363.9531,3248.0781,3431.2969,3309.6406,6677.1875,6673.0938
299.50766,299.50766,26.66,21.25,22.16,98.65625,280.60938,333.26562,1705.4688,1978.1562,4192.297,4058.0625,4362.6406,3662.0938,7426.4844,7363.5
297.346405,297.346405,23.72,21.56,19.85,109.296875,310.75,370.51562,1804.0625,2277.6406,4817.1875,4751.375,5628.2344,4763.375,9468.969,9335.0625
296.863495,296.863495,22.87,19.83,19.02,115.625,321.21875,384.17188,1775.4844,2382.9531,5020.2344,5023.203,6320.8906,5976.0312,11672.641,11564.719
295.528687,295.528687,22.04,20.43,18.3,118.71875,326.70312,389.75,1703.2656,2358.9062,4955.9062,4999.2344,6442.8438,6549.5312,12958.141,12909.844
295.492035,295.492035,21.72,20.01,18.6,109.8125,302.46875,364.125,1591.4688,2251.9688,4740.2812,4811.172,6292.3906,6633.7812,13419.328,13414.703
294.859924,294.859924,20.16,19.24,18.95,99.59375,274.21875,330.48438,1443.7031,2087,4403.6406,4495.9844,5953.9062,6484.4844,13362.922,13386.422
296.006714,296.006714,24.45,19.99,19.09,89.625,246.73438,297.6875,1300.5469,1899.5469,4010.0625,4108.9688,5491.7344,6155.078,12921.703,12967.5625
298.291229,298.291229,25.5,19.91,18.2,80.578125,221.89062,267.89062,1171.0625,1718.2656,3615.5938,3709.8594,4979.5,5686.5938,12088.875,12156.266
298.611298,298.611298,26.94,21.14,16.24,72.96875,200.1875,241.45312,1053.2969,1549.8906,3254.0469,3335,4475.0938,5159.578,10967.375,11045.594
300.06543,300.06543,27.84,22.95,19.05,67.265625,185.5,222.75,970.625,1405.1562,2958.3125,3015.8438,4010.0938,4634.8906,9805.531,9879.4375
295.460388,295.460388,22.22,20.97,20.01,61.515625,171.25,206.48438,934.0156,1296.0469,2816.8125,2842.5625,3649.3281,4155,8802.5,8861.703
296.136841,296.136841,21.63,20.92,20.18,55.359375,154.57812,186.70312,874.7031,1216.6094,2767.75,2787.0469,3459.2188,3793.6875,8123.9844,8161.75
296.307617,296.307617,23.4,20.71,19.41,52.109375,145.10938,174.78125,806.34375,1128.1719,2668.3125,2704.0312,3355.4219,3592.5312,7706.7656,7735.8125
298.346558,298.346558,25.18,21.65,19.8,49.546875,134.71875,162.03125,768.1094,1043.125,2495.4062,2539.625,3204.4219,3467.4062,7328.0625,7358.7656
299.623871,299.623871,27.09,23.19,20.05,57.296875,147.4375,175.375,763.6406,988.90625,2347.3594,2379,3005.9688,3311.5469,6920,6953.6562
297.156342,297.156342,23.64,22.53,22.24,56.921875,148.34375,178.26562,812.53125,1007.5469,2298.0781,2304.3281,2866.7969,3190.0469,6693.9375,6712.3594
296.873169,296.873169,23.46,22.32,22,61.796875,161.39062,192.21875,828.2969,1074.7969,2403.2188,2384.4688,2889.8125,3196.4375,6984.0938,6973.3438
