rzsm,cwe,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,runoff
215.369324,1.51E-05,0,295.059845,86.937439,0,295.059845,0,0,3.52E-05,1.09E-05,20.46,24.39,16.66,18.75,50.09375
222.804428,1.61E-05,0,292.322388,103.777725,0,292.322388,0,0,4.21E-05,1.42E-05,14.22,16,11.17,12.13,70.4375
230.040863,9.45E-06,0,286.503601,56.695179,0,286.503601,0,0,2.30E-05,4.58E-06,11.74,12.48,11.16,10.82,82.8125
224.19548,6.76E-07,0,290.147644,90.6942749,0,290.147644,0,0,3.68E-05,2.03E-05,17.92,22.3,13.24,11.42,85.75
218.269745,2.09E-07,0,292.230164,83.7450867,0,292.230164,0,0,3.40E-05,2.13E-05,20.07,24.09,15.43,13.42,78.25
212.909714,3.98E-07,0,294.167511,114.535873,0,294.167511,0,0,4.64E-05,3.18E-05,21.03,25.45,16.82,15.72,70.03125
208.450485,8.17E-07,0,294.870392,109.43145,0,294.870392,0,0,4.44E-05,2.91E-05,21.12,26.54,16.07,15.68,62.53125
204.511261,1.35E-07,0,295.994385,125.708267,0,295.994385,0,0,5.10E-05,2.99E-05,21.68,27.32,15.89,15.34,55.09375
202.173264,1.78E-06,0,294.035126,62.4876404,0,294.035126,0,0,2.53E-05,1.31E-05,19.54,24.35,15.88,16.08,50
203.483521,8.73E-06,0,293.507263,58.4016876,0,293.507263,0,0,2.37E-05,8.28E-06,19.3,22.51,17.11,17.17,45.34375
205.409958,1.11E-05,0,293.405212,63.4372177,0,293.405212,0,0,2.57E-05,9.26E-06,19.01,22.3,16.5,17.06,45.6875
205.543243,1.14E-05,0,293.412842,55.4383316,0,293.412842,0,0,2.25E-05,6.20E-06,19.66,22.42,16.52,17.61,45.59375
203.215347,1.87E-06,0,296.067993,95.827919,0,296.067993,0,0,3.89E-05,2.34E-05,22.54,27.65,16.98,17.46,43.3125
200.453094,2.88E-07,0,296.395325,101.082603,0,296.395325,0,0,4.10E-05,2.52E-05,23.47,28.34,19.06,16.42,39.34375
198.034714,2.74E-06,0,296.619934,93.0961456,0,296.619934,0,0,3.77E-05,2.15E-05,22.65,28.11,17.72,17.53,35.375
198.335571,8.02E-06,0,296.089172,84.1097641,0,296.089172,0,0,3.41E-05,1.53E-05,21.59,27.76,16.44,18.55,32.15625
200.813324,9.82E-06,0,294.607025,67.3649521,0,294.607025,0,0,2.73E-05,1.06E-05,20.42,24.91,16.43,17.24,36.0625
206.670792,8.29E-06,0,289.561096,40.7150955,0,289.561096,0,0,1.65E-05,3.43E-06,15.75,19.14,11.17,14.99,36.875
205.036224,1.04E-07,0,293.757935,76.3455505,0,293.757935,0,0,3.10E-05,2.10E-05,20.37,25.42,14.65,15.13,39.28125
202.974899,1.21E-06,0,294.467529,65.4108658,0,294.467529,0,0,2.65E-05,1.62E-05,21,26.02,16.2,16.36,36.71875
201.395432,1.66E-06,0,295.404053,63.0960045,0,295.404053,0,0,2.56E-05,1.66E-05,21.72,25.93,18.03,17.91,33.0625
199.877792,1.84E-06,0,295.967224,68.6882172,0,295.967224,0,0,2.78E-05,1.78E-05,22.33,27.75,15.86,18.16,29.84375
198.624557,3.60E-06,0,296.644073,76.8185196,0,296.644073,0,0,3.11E-05,1.87E-05,22.12,27.91,17.18,18.85,27.96875
198.355133,5.99E-06,0,296.865082,73.6440353,0,296.865082,0,0,2.99E-05,1.43E-05,22.23,27.55,18.43,19.51,25.9375
198.158722,7.36E-06,0,296.600342,71.393364,0,296.600342,0,0,2.89E-05,1.34E-05,22.17,26.06,18.53,19.16,24.03125
202.203506,1.50E-05,0,293.973206,60.3069496,0,293.973206,0,0,2.45E-05,4.57E-06,20.55,24.08,17.25,18.39,23.25
201.610931,7.18E-06,0,296.474304,91.9568863,0,296.474304,0,0,3.73E-05,1.97E-05,22.46,27.52,18.55,18.21,28.21875
200.422363,4.16E-06,0,296.918823,79.9685135,0,296.918823,0,0,3.24E-05,1.72E-05,22.61,27.43,18.65,18.74,28.1875
198.789368,1.72E-06,0,298.062256,75.4858017,0,298.062256,0,0,3.06E-05,1.90E-05,23.38,28.9,17.89,19.16,26.359375
198.540726,1.30E-05,0,297.819977,101.326622,0,297.819977,0,0,4.11E-05,1.67E-05,22.78,28.12,19.14,20.24,24.25
216.307602,1.11E-05,0,293.962219,37.4071732,0,293.962219,0,0,1.52E-05,1.57E-06,20.23,21.99,18.26,20.02,25.65625
220.493668,1.71E-05,0,295.427246,91.8624268,0,295.427246,0,0,3.72E-05,1.39E-05,21.4,24.46,18.15,19.67,35.8125
216.650055,8.01E-06,0,296.683868,109.970512,0,296.683868,0,0,4.46E-05,2.68E-05,22.59,27.85,16.76,19.21,38.328125
212.21138,7.67E-06,0,296.334259,132.766724,0,296.334259,0,0,5.38E-05,2.98E-05,21.79,27.01,16.88,18.02,36.5
209.747681,1.38E-05,0,295.516205,107.754753,0,295.516205,0,0,4.37E-05,1.90E-05,21.07,26.49,16.85,18.75,33.34375
208.554169,1.64E-05,0,295.68042,105.39418,0,295.68042,0,0,4.27E-05,1.65E-05,21.69,26.03,18.19,18.59,31.765625
207.255432,1.76E-05,0,295.829163,107.250374,0,295.829163,0,0,4.35E-05,1.57E-05,21.83,25.39,18.53,18.97,30.25
205.934769,1.73E-05,0,296.483337,117.285355,0,296.483337,0,0,4.76E-05,1.81E-05,21.98,25.41,18.4,18.89,28.484375
206.166718,1.90E-05,0,295.850586,102.989189,0,295.850586,0,0,4.18E-05,1.23E-05,21.64,25.71,18.57,19.5,27.109375
205.955643,1.40E-05,0,295.249481,83.0018158,0,295.249481,0,0,3.37E-05,1.20E-05,20.8,23.73,17.59,18.86,27.875
207.079437,1.15E-05,0,295.847412,80.4594803,0,295.847412,0,0,3.26E-05,1.32E-05,21.87,25.55,18.72,18.97,27.1875
215.72789,1.39E-05,0,293.187195,87.7298737,0,293.187195,0,0,3.56E-05,1.09E-05,20.03,23.46,17.4,17.62,27.796875
212.07373,1.78E-06,0,294.171783,88.1680603,0,294.171783,0,0,3.57E-05,2.12E-05,21.12,26.17,16.53,16.69,26.671875
208.398193,2.41E-06,0,295.154022,105.576599,0,295.154022,0,0,4.28E-05,2.71E-05,23.15,28.04,18.86,16.45,24.265625
204.879929,1.08E-06,0,296.034241,118.401962,0,296.034241,0,0,4.80E-05,3.11E-05,23.44,29.59,18.2,16.79,21.859375
201.59938,6.21E-08,0,297.588287,106.853218,0,297.588287,0,0,4.33E-05,2.95E-05,24.2,29.97,17.88,17.75,19.78125
199.359726,2.61E-08,0,298.443085,86.6693497,0,298.443085,0,0,3.51E-05,2.40E-05,24.27,30.19,17.46,18.87,17.8125
197.156754,2.80E-08,0,298.69455,98.9381409,0,298.69455,0,0,4.01E-05,2.60E-05,24.83,30.83,17.77,18.02,16.015625
194.416092,5.23E-09,0,299.290253,127.810959,0,299.290253,0,0,5.18E-05,2.98E-05,24.19,30.33,17.83,17.43,14.4375
195.057556,1.88E-05,0,296.473419,107.29821,0,296.473419,0,0,4.35E-05,1.33E-05,22.58,27.16,17.77,18.5,13.046875
195.865967,6.94E-06,0,296.138672,80.1839218,0,296.138672,0,0,3.25E-05,1.56E-05,21.47,25.8,17.87,16.84,13
198.191696,1.05E-05,0,292.775604,48.8227997,0,292.775604,0,0,1.98E-05,5.08E-06,19.08,23.14,15.95,17.73,23.4375
198.490341,6.63E-06,0,295.185455,85.3912506,0,295.185455,0,0,3.46E-05,1.77E-05,20.97,26.54,17.49,17.87,27.65625
200.421356,8.91E-06,0,294.615875,79.5396194,0,294.615875,0,0,3.22E-05,1.40E-05,20.44,25.21,17.66,16.79,31.09375
204.914734,9.23E-06,0,292.715332,46.6800652,0,292.715332,0,0,1.89E-05,4.85E-06,18.37,22.51,14.34,17.18,35.734375
202.560059,6.54E-07,0,296.190155,97.2064209,0,296.190155,0,0,3.94E-05,2.40E-05,22.06,27.62,17.12,16.43,42.53125
200.90152,3.70E-07,0,294.940735,55.3540001,0,294.940735,0,0,2.24E-05,1.30E-05,20.3,23.84,16.86,17.94,40.53125
199.332855,3.56E-06,0,295.522888,78.5161057,0,295.522888,0,0,3.18E-05,1.82E-05,20.77,26.23,17.22,16.95,36.59375
