asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
290.106934,290.106934,14.2,10.44,10.11,28.5625,68.96875,79.1875,448.125,521.03125,765.34375,724,701.5,538.28125,1097.125,1093.8125
285.175568,285.175568,10.49,9.09,8.19,28.125,69.71875,80.71875,445.375,548.78125,866.09375,834.875,863.8125,642.15625,1205.5625,1194.75
286.984131,286.984131,12.59,8.38,8.09,25.5,63.75,75.6875,445.25,557.4375,955.09375,926.75,1017.65625,792.5,1382.5,1363.25
287.057068,287.057068,12.27,9.56,8.33,23.34375,58.8125,69.84375,421.5,548.4375,1008.375,993.46875,1128.6875,953.71875,1604.375,1580.4375
284.60614,284.60614,11.01,8.58,6.9,20.96875,53.1875,64.03125,397.4375,530.25,1011.84375,1012.34375,1186.5,1091.5312,1846.5312,1821.7812
284.406708,284.406708,10.63,7.41,4.53,18.6875,47.5,57.46875,370,504.75,983.78125,993.625,1195.4688,1184,2079.5938,2058.9688
281.998718,281.998718,8.22,5.93,4.65,16.65625,42.625,52.125,338.40625,478.875,942.0625,956.21875,1168.5625,1224.5938,2250.6562,2240.6562
282.34317,282.34317,7.83,5.08,1.9,14.6875,37.59375,46.34375,307.40625,448.34375,897.25,913.8125,1125.3125,1223.5938,2325.125,2327.2188
283.489075,283.489075,9.39,4.3,2.94,12.9375,33.1875,40.9375,275.28125,411.375,841.84375,863.53125,1075.5,1195.9062,2311.4375,2322.2188
286.602936,286.602936,12.95,4.63,6.14,12.6875,32.40625,38.6875,246.9375,374.125,777.4375,802.71875,1015.625,1153.25,2243.6562,2258.6875
289.698456,289.698456,15.18,9.01,8.74,16,38.03125,42.5,229.0625,341.03125,712.46875,738.4375,946.84375,1099.75,2150.6875,2167.625
291.889038,291.889038,17.57,11.14,11.88,17.8125,42.40625,48.5625,231.96875,316.875,654.21875,678,876.75,1036.7188,2042.75,2061.0312
287.48053,287.48053,13.74,10.65,11.59,23.0625,57.78125,63.84375,257.59375,309.0625,613.125,630.1875,814.90625,969.5625,1927.4688,1946.9375
284.25177,284.25177,10.08,5.84,8.38,23.71875,60.9375,71.1875,295.8125,319.53125,601.15625,606.25,773.1875,908.96875,1824.0625,1843.2812
285.984985,285.984985,12.74,7.13,7.17,21.5625,55.09375,65.28125,304.40625,342.4375,623.4375,614.40625,758.125,858.625,1738.625,1757.2812
288.493347,288.493347,14.27,7.64,7.97,19.34375,49.34375,58.53125,285.0625,359.59375,668.15625,651.375,765.21875,822.59375,1665.1875,1681.4375
291.839325,291.839325,17.57,9.03,10.4,17.25,44.75,53.3125,261.71875,354.625,702.46875,691.71875,790,806.5625,1621.25,1632.125
293.564636,293.564636,20.75,13.37,13.87,15.3125,40.71875,49.1875,244.8125,334.71875,707.0625,707.71875,820.3125,811.25,1620.8438,1625.2812
295.509552,295.509552,21.05,14.38,12.85,13.5625,36.84375,45.3125,235.65625,313.03125,694.53125,700.6875,836.6875,831.15625,1650.5312,1651.6875
296.842133,296.842133,23.48,16.92,13.53,12.0625,33.375,41.375,226.96875,297.15625,685.0625,689.75,835.0625,853.125,1675.8438,1678.4062
292.507416,292.507416,17.84,10.63,10.05,11.34375,32.0625,39.28125,213.0625,288.21875,687.6875,688.4375,828.34375,865.46875,1676,1682.1562
287.12265,287.12265,11.84,10.11,8.26,15.875,43.46875,48.8125,208.53125,291.5625,705.4375,700.4375,830.25,870.75,1661.6562,1669.9688
282.848907,282.848907,8.97,7.44,6.82,16.84375,45.9375,54.71875,223.25,299.1875,745.1875,731.6875,855.125,878.3125,1658.5,1666.9688
285.024475,285.024475,10.19,4.13,5.26,15.71875,43.21875,52.15625,232.53125,301.15625,784.0625,772.40625,904.46875,895.5,1683.1562,1689.2188
288.761017,288.761017,13.5,6.12,6.4,14.125,39,47.5,228.75,305.125,801.15625,797.28125,947.21875,927.6875,1745.8438,1746
288.314301,288.314301,14.18,10.46,7.82,13.78125,37.15625,44.5625,214.625,302.9375,796.03125,800.1875,963.65625,966.4375,1864.7812,1856.8125
289.915985,289.915985,16.93,11.76,9.61,13.59375,36.03125,43.125,199.96875,292.1875,769.5625,781.6875,956.34375,993.25,2009.75,2001
287.060059,287.060059,13.72,12.07,11.03,15.03125,40.59375,47.375,192.6875,283.71875,733.125,748.8125,933.46875,999.78125,2095.5938,2095.9688
288.364197,288.364197,13.72,10.87,10.38,14.875,41.5625,50.4375,197.375,280.5625,704.15625,716.9375,903.78125,989.65625,2097,2106.2812
287.301514,287.301514,13.15,10.79,10.4,13.46875,38.3125,47.53125,201.78125,275.9375,679.875,691.375,874.3125,969.125,2051.25,2064.6562
286.159027,286.159027,11.19,10.45,8.67,17.9375,49.59375,57.6875,206.90625,281.40625,662,670.09375,846.03125,945.21875,2004.5625,2017.5938
285.877472,285.877472,12.48,9.49,9.07,17.8125,50.25,62.125,230.1875,293.5625,664.875,664.59375,824.5625,923.78125,1991.9688,2002.0938
287.74881,287.74881,14.26,10.91,8.64,17.03125,46.46875,57.3125,234.71875,301.6875,677.65625,674.8125,819.0625,904,2009.125,2017.0938
289.296753,289.296753,15.32,10.49,9.33,15.9375,43.09375,53.15625,220.75,308.28125,681.21875,682.03125,821.90625,887.75,2040.0938,2046.1875
292.017426,292.017426,17.61,11.58,12.15,14.25,38.75,48.0625,203.15625,302.65625,671.1875,677.34375,820.25,878.75,2069.375,2076.0938
289.361786,289.361786,14.49,13.19,12.7,13.78125,37.6875,46,188.90625,289.46875,649.40625,660.53125,811.9375,877.09375,2083.25,2093.7812
288.040192,288.040192,13.51,11.05,11.63,12.78125,35.8125,44.28125,185.71875,285.375,636.53125,644.09375,805.5,884.96875,2093.8125,2107
288.484436,288.484436,15.44,10.6,10.52,14.6875,42.15625,50.5,194.59375,292.71875,657.1875,651.3125,813.0625,896.65625,2105.4375,2119.9688
292.022278,292.022278,17.5,11.62,13.1,14.21875,41.78125,52.59375,219.40625,301,705.625,689.875,835.34375,904.3125,2105,2119
291.606567,291.606567,16.72,14.55,13.87,12.6875,37.40625,47.53125,229.40625,306.53125,743.75,733.6875,869.96875,913.0625,2115.3125,2126.625
290.32486,290.32486,15.75,13.34,13.91,12.125,35.46875,44.375,221.4375,315.125,756.4375,755.3125,901.46875,932.4375,2156.1562,2165.625
290.814117,290.814117,16.12,11.18,12.39,13.5625,40.3125,49.21875,214.4375,318.34375,757.59375,760.09375,915.1875,958.78125,2204.875,2216.125
285.97525,285.97525,11.31,8.58,7.45,13.15625,39.6875,50.1875,217.125,315.78125,756.71875,760.4375,919.3125,983.125,2231.3438,2245.5
285.104584,285.104584,10.67,8.72,7.08,12.75,40.46875,51.5625,218.5,320.3125,764.96875,765.53125,928.84375,1005.0625,2246.0938,2261.3125
286.153351,286.153351,12.92,8.92,7.6,13.03125,40.90625,51.875,219.9375,326.1875,789.53125,784.9375,950.21875,1022.15625,2260.1875,2274.9688
289.60968,289.60968,16.24,11.44,10.4,15.46875,44.90625,54.625,216.71875,323.71875,802.03125,802.78125,971.25,1035.0312,2282.2812,2294.5
291.017426,291.017426,16.88,14.03,12.47,15.46875,44.53125,55.28125,218.6875,317.1875,793.1875,800.96875,979.84375,1047.5,2326.2188,2334.9688
288.935577,288.935577,14.59,11.13,12.23,14.09375,40.625,50.8125,215.625,308.125,773.21875,784.28125,973.0625,1057.5312,2374.8125,2383.7812
294.137665,294.137665,19.66,13.59,15.29,12.625,36.78125,46.03125,204.96875,300.375,752.6875,763.25,953.6875,1057.4688,2385.4688,2399.0625
292.715942,292.715942,17.8,15.78,16.37,16.34375,46.34375,54.625,202.40625,301.78125,745.71875,750.8125,932.6875,1047.6562,2351.7188,2369.6875
292.077393,292.077393,18.45,13.63,13.1,27.8125,74.40625,86.59375,246.65625,320.0625,771.46875,763.28125,926.875,1035.5,2313.8438,2334.125
286.828918,286.828918,12.73,10.48,11.29,29.78125,78.90625,97.3125,336,351.21875,838.96875,815.96875,954.59375,1027.0312,2303.3438,2322.0312
291.168732,291.168732,16.91,12.56,10.73,27.15625,71.375,88.8125,370.21875,403.78125,932.25,901.8125,1018.15625,1035.125,2358.7188,2368.9375
289.704132,289.704132,16.25,13.33,10.62,24.28125,63.5625,79.25,353.96875,452.84375,1021.03125,995.34375,1097.7812,1070.125,2525.7188,2523.3125
289.472656,289.472656,14.57,11.78,11.63,24.53125,64.125,78.25,332.4375,464.46875,1061.9062,1054.0625,1174.5625,1132.25,2742.25,2738.5312
290.997284,290.997284,16.49,10.5,11.3,22.71875,59.78125,74.34375,325.625,450.8125,1057.7188,1062.5312,1220.75,1204.8438,2889.5625,2895.0938
293.337311,293.337311,19.75,15.27,12.51,20.34375,53.25,66.40625,308,429.3125,1038.0312,1046.9375,1228.0938,1261.8125,2936,2949.75
294.980042,294.980042,21.94,16.09,14.68,18.21875,47.6875,59.4375,281.28125,406.25,1012.96875,1023.875,1208.375,1285.4375,2912.4688,2930.625
297.220551,297.220551,23.62,18.25,15.37,16.25,42.78125,53.40625,254.90625,377.875,974.09375,990.28125,1175.375,1277.7812,2846.125,2866.75
295.913055,295.913055,23.16,19.69,17.67,15.65625,39.90625,49.03125,231.71875,349.28125,922.5,942.6875,1132.8438,1250.7188,2751.1562,2773.5625
