rzsm,tws,asst,psm,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,runoff
256.068237,874.988647,281.168671,874.981018,40.6009521,281.168671,1.65E-05,4.95E-07,6.87,10.64,1.88,3.1,13.46875,38.3125,47.53125,201.78125
254.829514,873.893677,281.557953,873.893494,44.2193184,281.557953,1.79E-05,2.62E-06,8.76,12.75,2.77,-0.35,17.9375,49.59375,57.6875,206.90625
253.745148,872.744019,282.667328,872.734314,39.3199921,282.667328,1.59E-05,1.58E-06,8.33,12.69,5.36,3.19,17.8125,50.25,62.125,230.1875
253.422501,872.278931,281.411224,872.25708,24.1903191,281.411224,9.81E-06,7.83E-07,7.57,10.84,1.92,4.42,17.03125,46.46875,57.3125,234.71875
252.343964,870.983337,286.14801,870.979614,47.2622871,286.14801,1.92E-05,2.86E-06,11.12,17.34,4.16,5.98,15.9375,43.09375,53.15625,220.75
250.529587,868.866394,288.649933,868.864197,85.3444748,288.649933,3.46E-05,3.72E-06,12.04,19.13,5.39,3.98,14.25,38.75,48.0625,203.15625
248.409012,866.298584,286.388306,866.291809,53.8152809,286.388306,2.18E-05,2.68E-06,10.7,15.05,6.71,5.64,13.78125,37.6875,46,188.90625
250.933823,868.359314,282.294678,868.338257,16.8868084,282.294678,6.85E-06,2.22E-07,6.94,9.59,4.01,6.19,12.78125,35.8125,44.28125,185.71875
251.157288,868.242432,282.942505,868.238953,29.2855434,282.942505,1.19E-05,1.35E-06,8.48,13.17,4.53,5.69,14.6875,42.15625,50.5,194.59375
250.108139,866.840515,287.875244,866.839355,52.7766838,287.875244,2.14E-05,3.02E-06,12.63,17.82,6.73,7.21,14.21875,41.78125,52.59375,219.40625
249.136078,865.455078,285.888336,865.442017,34.9515152,285.888336,1.42E-05,1.27E-06,10.48,13.1,8.45,5.21,12.6875,37.40625,47.53125,229.40625
250.570038,866.481262,286.178986,866.464111,29.1402073,286.178986,1.18E-05,8.24E-07,11.93,16.85,6.14,9.19,12.125,35.46875,44.375,221.4375
252.472137,868.156189,279.748352,868.152344,46.9219208,279.748352,1.90E-05,1.05E-06,5.43,7.38,4.02,-2.95,13.5625,40.3125,49.21875,214.4375
254.226471,869.769409,276.644348,869.749634,23.428688,276.644348,9.50E-06,2.50E-07,1.8,4.33,-1.32,-1.3,13.15625,39.6875,50.1875,217.125
256.502533,872.41449,278.071533,872.407104,24.4542427,278.071533,9.91E-06,1.29E-06,4.51,8.47,-0.02,0.08,12.75,40.46875,51.5625,218.5
254.950836,871.18042,283.022125,871.179871,40.7105827,283.022125,1.65E-05,2.83E-06,8.45,13.76,3.7,3.75,13.03125,40.90625,51.875,219.9375
253.553741,869.838135,283.282318,869.835083,32.991127,283.282318,1.34E-05,2.33E-06,9.43,14.31,5.59,5.75,15.46875,44.90625,54.625,216.71875
252.634003,868.825378,286.310944,868.81073,30.5284939,286.310944,1.24E-05,2.12E-06,12.11,15.64,6.25,7.96,15.46875,44.53125,55.28125,218.6875
251.422882,867.414856,289.658142,867.398865,56.3944092,289.658142,2.29E-05,3.81E-06,14.35,20.15,9.58,10.16,14.09375,40.625,50.8125,215.625
252.150848,867.880554,289.287262,867.849121,39.0370598,289.287262,1.58E-05,2.11E-06,14.56,17.63,10.44,11.27,12.625,36.78125,46.03125,204.96875
260.143982,876.250122,285.792175,876.226868,36.5597458,285.792175,1.48E-05,6.67E-07,10.74,13.49,7.39,8.86,16.34375,46.34375,54.625,202.40625
258.96759,876.303833,286.06842,876.302246,103.58754,286.06842,4.20E-05,7.87E-06,10.94,15.97,6.54,2.55,27.8125,74.40625,86.59375,246.65625
255.437607,873.281738,284.48291,873.281433,69.1666565,284.48291,2.80E-05,5.83E-06,11.57,16.26,5.83,1.04,29.78125,78.90625,97.3125,336
253.094315,870.942932,287.090149,870.940735,72.6391602,287.090149,2.95E-05,5.47E-06,11.72,16.95,6.41,5.03,27.15625,71.375,88.8125,370.21875
252.828781,870.462524,285.952148,870.43512,42.8905792,285.952148,1.74E-05,2.11E-06,10.92,13.93,7.43,7.55,24.28125,63.5625,79.25,353.96875
252.926773,870.399414,284.28537,870.398438,87.425766,284.28537,3.54E-05,5.24E-06,10.09,16.09,4.16,-0.58,24.53125,64.125,78.25,332.4375
250.445923,867.667847,286.19046,867.667786,61.1880264,286.19046,2.48E-05,5.19E-06,12.37,17.28,6.62,3.32,22.71875,59.78125,74.34375,325.625
248.754425,865.567322,288.949371,865.567322,65.3713303,288.949371,2.65E-05,5.18E-06,13.63,19.73,5.86,7.34,20.34375,53.25,66.40625,308
246.529495,862.796631,290.440216,862.793457,78.0977936,290.440216,3.17E-05,6.85E-06,17.12,22.43,10.21,6.5,18.21875,47.6875,59.4375,281.28125
246.000946,861.5849,290.853455,861.577698,50.9279518,290.853455,2.06E-05,3.63E-06,16.54,21.85,9.94,11.22,16.25,42.78125,53.40625,254.90625
245.282898,860.166138,293.021088,860.163147,74.3222656,293.021088,3.01E-05,5.99E-06,17.88,24.09,12.24,11.33,15.65625,39.90625,49.03125,231.71875
243.906281,858.195068,294.071472,858.189697,73.5142365,294.071472,2.98E-05,5.19E-06,17.8,23.99,13.4,12.61,14.46875,36.9375,45.5,213.3125
243.011261,856.785461,294.214386,856.77771,68.6519547,294.214386,2.78E-05,3.82E-06,18.7,23.65,14.34,14.82,13.03125,33.625,41.4375,197.46875
248.122025,861.518433,290.591888,861.464172,17.0275497,290.591888,6.90E-06,2.40E-07,15.39,17.96,12.2,14.94,11.78125,31.28125,38.5625,185.125
248.284042,861.5224,294.919128,861.518005,73.5215683,294.919128,2.98E-05,6.26E-06,19.99,25.58,14.38,14.46,17.3125,53.875,59.9375,185.25
246.66217,859.738342,289.583527,859.733398,77.7046051,289.583527,3.15E-05,3.84E-06,14.75,17.87,10.21,7.29,17.71875,58.6875,71.9375,211.65625
246.215607,859.06781,288.175171,859.05835,47.5716286,288.175171,1.93E-05,3.85E-06,14.05,20.05,10.82,8.69,19.71875,62.875,76,234.71875
246.364273,858.947571,288.721741,858.916687,37.2787399,288.721741,1.51E-05,2.41E-06,13.84,15.91,11.54,10.2,18.90625,59.6875,74.15625,254.5625
246.33696,858.651978,291.625458,858.645996,59.1121826,291.625458,2.40E-05,4.18E-06,16.85,22.18,12.08,12.12,17,53.34375,66.59375,256.1875
245.03508,857.085144,287.557037,857.083801,55.1247444,287.557037,2.23E-05,3.65E-06,12.38,15.66,10.35,5.49,15.15625,47.5,59.40625,245.8125
243.772522,855.467468,289.894165,855.46228,61.609436,289.894165,2.50E-05,4.95E-06,14.76,19.74,11.1,9.79,13.5,42.34375,53.03125,230.84375
243.391602,854.656677,290.050293,854.643982,52.8311539,290.050293,2.14E-05,2.83E-06,15.82,19.37,13.09,11.23,12.03125,37.84375,47.4375,214.625
245.457001,856.35144,287.598633,856.319153,27.9777145,287.598633,1.13E-05,5.70E-07,13.66,15.66,11.69,11.8,11.0625,34.625,43.15625,200.03125
247.940903,858.642395,287.178955,858.573486,24.1830711,287.178955,9.80E-06,5.79E-07,13.18,16.63,11.15,11.26,11.25,35.4375,43.125,189.09375
248.807053,859.408875,288.325226,859.395752,46.6694908,288.325226,1.89E-05,2.90E-06,13.56,17.61,10.8,10.1,11.65625,36.375,44.6875,184.6875
251.337509,862.033997,286.936798,861.970886,21.4800987,286.936798,8.71E-06,4.52E-07,12.21,13.66,11.28,10.99,11.28125,35.03125,43.4375,189.09375
255.651627,866.938477,287.473877,866.889282,22.066431,287.473877,8.95E-06,6.94E-07,13.12,15.46,9.89,11.72,11.4375,35.875,43.8125,195.09375
255.055496,867.196472,287.847473,867.188416,70.0598602,287.847473,2.84E-05,4.29E-06,12.83,18.36,7.98,8.18,11.46875,36.1875,44.5,199.90625
252.645416,865.349304,288.194244,865.341553,65.7808914,288.194244,2.67E-05,7.87E-06,14.29,17.64,10.22,5.69,12.78125,40.125,48.09375,203.25
250.428604,863.347168,291.561768,863.340149,80.6248703,291.561768,3.27E-05,9.80E-06,16.33,21.15,12.83,8.83,12.53125,39.25,48.375,208.5
252.62117,865.703491,288.169098,865.656067,31.4443398,288.169098,1.27E-05,8.14E-07,13.53,14.83,12.36,11.7,11.4375,35.875,44.4375,208.15625
252.230988,865.604919,290.581512,865.603088,84.4303207,290.581512,3.42E-05,8.81E-06,15.61,20.43,10.86,10.15,13.1875,40.09375,47.40625,203.625
249.47229,862.981873,293.096222,862.981384,80.0902252,293.096222,3.25E-05,1.18E-05,19.15,24.32,13.85,11.29,13.03125,40.1875,49.0625,213.09375
247.252731,860.690308,294.795563,860.690186,82.1664124,294.795563,3.33E-05,9.92E-06,19.48,24.73,14.74,13.54,11.75,36.28125,44.75,221.375
244.664917,857.852295,296.810669,857.850952,105.876526,296.810669,4.29E-05,1.09E-05,20.28,25.43,15.88,15.11,10.625,32.8125,40.4375,215.5625
246.250748,858.893555,294.098511,858.875305,87.9528046,294.098511,3.57E-05,6.07E-06,19.73,24.54,13.21,16.36,9.75,30.09375,37.0625,204.1875
254.904678,867.600281,289.553955,867.58313,63.9540634,289.553955,2.59E-05,3.63E-06,14.5,17.14,12.32,11.48,12.71875,45.84375,53.59375,203.59375
254.973969,868.439331,292.169312,868.4375,65.4417114,292.169312,2.65E-05,1.05E-05,18.2,23.68,14.27,13.02,15.09375,55.15625,68.5625,240.96875
252.461746,866.395569,293.704346,866.394531,74.6936722,293.704346,3.03E-05,1.13E-05,18.54,22.77,15.31,14.32,14.5,52.0625,66.40625,272.84375
250.047577,864.138184,294.86377,864.135193,83.5774307,294.86377,3.39E-05,1.14E-05,20.28,25.04,15.59,14.46,13.03125,46.40625,59.5,268.375
251.967133,865.970642,293.59021,865.942505,78.6289139,293.59021,3.19E-05,7.16E-06,18.81,22.27,15.37,16.45,11.65625,41.34375,53,249.65625
