asst,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,runoff
279.058563,54.9784317,279.058563,2.23E-05,2.41E-06,5.9,11.24,1.02,-5.81,14.6875,37.59375,46.34375,307.40625,448.34375,897.25,913.8125
281.00589,47.8461227,281.00589,1.94E-05,3.22E-06,8.36,13.4,1.86,0.48,12.9375,33.1875,40.9375,275.28125,411.375,841.84375,863.53125
283.744568,45.2822037,283.744568,1.84E-05,3.87E-06,9.83,15.78,2.44,4.34,12.6875,32.40625,38.6875,246.9375,374.125,777.4375,802.71875
286.902435,57.0546646,286.902435,2.31E-05,6.45E-06,13.19,19.38,4.72,7.32,16,38.03125,42.5,229.0625,341.03125,712.46875,738.4375
291.048767,68.0926285,291.048767,2.76E-05,7.06E-06,17.3,21.57,7.27,10.56,17.8125,42.40625,48.5625,231.96875,316.875,654.21875,678
284.066711,42.6047134,284.066711,1.73E-05,4.67E-07,11.67,15.32,9.38,4.13,23.0625,57.78125,63.84375,257.59375,309.0625,613.125,630.1875
282.609619,54.7313499,282.609619,2.22E-05,3.10E-06,9.51,15.11,2.31,0.3,23.71875,60.9375,71.1875,295.8125,319.53125,601.15625,606.25
284.791504,49.1131439,284.791504,1.99E-05,3.86E-06,11.05,16.33,3.35,4.98,21.5625,55.09375,65.28125,304.40625,342.4375,623.4375,614.40625
287.707947,72.9192276,287.707947,2.96E-05,8.15E-06,14.26,21.88,6.23,7.4,19.34375,49.34375,58.53125,285.0625,359.59375,668.15625,651.375
289.042206,69.8714371,289.042206,2.83E-05,9.15E-06,15.79,22.82,8.25,9.44,17.25,44.75,53.3125,261.71875,354.625,702.46875,691.71875
292.091034,98.005661,292.091034,3.97E-05,1.13E-05,19.06,25.44,10.27,9.49,15.3125,40.71875,49.1875,244.8125,334.71875,707.0625,707.71875
289.712494,116.252449,289.712494,4.71E-05,1.31E-05,17.45,25.58,11.59,3.01,13.5625,36.84375,45.3125,235.65625,313.03125,694.53125,700.6875
294.163391,120.391144,294.163391,4.88E-05,1.26E-05,21.91,27.01,12.56,10.94,12.0625,33.375,41.375,226.96875,297.15625,685.0625,689.75
286.551788,71.1708603,286.551788,2.89E-05,5.18E-06,12.27,18.75,8.46,4.01,11.34375,32.0625,39.28125,213.0625,288.21875,687.6875,688.4375
284.419006,37.2711525,284.419006,1.51E-05,1.24E-06,10.19,11.55,8.86,5.38,15.875,43.46875,48.8125,208.53125,291.5625,705.4375,700.4375
281.08902,30.0591125,281.08902,1.22E-05,8.16E-07,9.13,14.5,5.79,4.16,16.84375,45.9375,54.71875,223.25,299.1875,745.1875,731.6875
283.743652,50.3919029,283.743652,2.04E-05,4.32E-06,10.45,16.05,3.31,3.14,15.71875,43.21875,52.15625,232.53125,301.15625,784.0625,772.40625
284.266266,43.1105919,284.266266,1.75E-05,2.88E-06,11.03,15.78,4.82,2.87,14.125,39,47.5,228.75,305.125,801.15625,797.28125
287.978638,70.9801407,287.978638,2.88E-05,8.58E-06,13.66,19.5,6.16,5.41,13.78125,37.15625,44.5625,214.625,302.9375,796.03125,800.1875
287.324066,22.8719883,287.324066,9.27E-06,1.79E-06,14.48,18.48,10.49,8.87,13.59375,36.03125,43.125,199.96875,292.1875,769.5625,781.6875
284.34079,4.87634325,284.34079,1.98E-06,1.07E-07,11.66,14.21,8.59,9.4,15.03125,40.59375,47.375,192.6875,283.71875,733.125,748.8125
287.870361,51.8836365,287.870361,2.10E-05,4.89E-06,13.94,18.72,9.5,8.83,14.875,41.5625,50.4375,197.375,280.5625,704.15625,716.9375
285.72467,45.2722359,285.72467,1.84E-05,7.99E-07,12.18,14.14,9.62,6.08,13.46875,38.3125,47.53125,201.78125,275.9375,679.875,691.375
287.184082,79.2475204,287.184082,3.21E-05,7.66E-06,13.06,17.4,8.56,3.6,17.9375,49.59375,57.6875,206.90625,281.40625,662,670.09375
285.358948,24.9487095,285.358948,1.01E-05,9.85E-07,11.12,13.57,8.46,8.01,17.8125,50.25,62.125,230.1875,293.5625,664.875,664.59375
284.958008,32.4223938,284.958008,1.31E-05,2.01E-06,12.06,15.73,6.5,7.79,17.03125,46.46875,57.3125,234.71875,301.6875,677.65625,674.8125
287.371521,59.1284218,287.371521,2.40E-05,6.80E-06,14.71,19.74,8.71,8.4,15.9375,43.09375,53.15625,220.75,308.28125,681.21875,682.03125
291.281067,84.6946564,291.281067,3.43E-05,9.50E-06,17.49,22.38,11.42,8.27,14.25,38.75,48.0625,203.15625,302.65625,671.1875,677.34375
287.075256,26.4827366,287.075256,1.07E-05,1.41E-06,13.21,15.06,11.83,10.12,13.78125,37.6875,46,188.90625,289.46875,649.40625,660.53125
283.77774,3.41384125,283.77774,1.38E-06,4.46E-08,10.3,12.69,5.8,8.98,12.78125,35.8125,44.28125,185.71875,285.375,636.53125,644.09375
285.235901,28.1135216,285.235901,1.14E-05,1.66E-06,11.7,15.61,7.55,8.81,14.6875,42.15625,50.5,194.59375,292.71875,657.1875,651.3125
290.043518,55.3426819,290.043518,2.24E-05,6.44E-06,15.57,20.82,10.71,10.39,14.21875,41.78125,52.59375,219.40625,301,705.625,689.875
291.818176,42.7208862,291.818176,1.73E-05,4.96E-06,18.03,22.28,13.44,13.16,12.6875,37.40625,47.53125,229.40625,306.53125,743.75,733.6875
291.431549,28.6341305,291.431549,1.16E-05,2.46E-06,17.25,20.24,15.29,14.37,12.125,35.46875,44.375,221.4375,315.125,756.4375,755.3125
286.010956,58.4835892,286.010956,2.37E-05,1.16E-06,12.6,16.35,8.58,4.58,13.5625,40.3125,49.21875,214.4375,318.34375,757.59375,760.09375
281.690338,8.32570744,281.690338,3.38E-06,7.32E-09,7.54,8.4,6.51,5.39,13.15625,39.6875,50.1875,217.125,315.78125,756.71875,760.4375
283.792145,53.5121117,283.792145,2.17E-05,3.71E-06,9.52,13.52,6.19,4.02,12.75,40.46875,51.5625,218.5,320.3125,764.96875,765.53125
285.72287,58.4567108,285.72287,2.37E-05,5.95E-06,11.95,16.29,6.64,6.14,13.03125,40.90625,51.875,219.9375,326.1875,789.53125,784.9375
287.498138,54.0322227,287.498138,2.19E-05,5.55E-06,14.66,17.89,9.64,8.53,15.46875,44.90625,54.625,216.71875,323.71875,802.03125,802.78125
289.228149,33.9199944,289.228149,1.38E-05,2.80E-06,15.12,17.57,12.81,10.88,15.46875,44.53125,55.28125,218.6875,317.1875,793.1875,800.96875
289.655701,39.8984337,289.655701,1.62E-05,3.95E-06,16.11,21.62,10.44,12,14.09375,40.625,50.8125,215.625,308.125,773.21875,784.28125
292.316132,43.4951439,292.316132,1.76E-05,5.09E-06,18.51,21.62,13.77,13.8,12.625,36.78125,46.03125,204.96875,300.375,752.6875,763.25
290.063446,21.8706284,290.063446,8.87E-06,4.47E-07,17.05,18.82,14.87,12.76,16.34375,46.34375,54.625,202.40625,301.78125,745.71875,750.8125
