ssm,rzsm,tws,asst,psm,sst,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,runoff
5.73227787,283.374329,1960.1488,286.887817,1960.14087,286.887817,1.78E-06,12.84,18.71,6.56,8.47,29.4375,72.09375,82.71875,452.34375,466.34375
6.08614779,285.799042,1962.19067,281.859039,1962.17639,281.859039,4.76E-07,6.58,8.91,3.62,5.16,28.5625,68.96875,79.1875,448.125,521.03125
5.77224827,288.190857,1964.35669,281.361267,1964.35107,281.361267,2.83E-06,8.05,12.85,3.48,2.57,28.125,69.71875,80.71875,445.375,548.78125
5.86409903,288.100983,1964.11462,282.512573,1964.10327,282.512573,1.47E-06,7.87,11.02,4.23,3.84,25.5,63.75,75.6875,445.25,557.4375
5.99004936,289.600067,1965.4552,281.139191,1965.44141,281.139191,9.11E-07,6.23,9.67,3.3,3.2,23.34375,58.8125,69.84375,421.5,548.4375
5.83895636,290.407135,1966.15393,281.207336,1966.14038,281.207336,2.23E-06,7.87,11.97,3.19,1.67,20.96875,53.1875,64.03125,397.4375,530.25
5.98441076,290.998108,1966.65149,279.972321,1966.63696,279.972321,5.69E-07,5.33,6.81,2.54,2.32,18.6875,47.5,57.46875,370,504.75
5.73085356,290.642334,1966.23474,278.791473,1966.23364,278.791473,2.42E-06,4.95,10.09,-0.57,-8.17,16.65625,42.625,52.125,338.40625,478.875
5.73405457,288.657013,1964.17102,276.370941,1964.17078,276.370941,2.54E-06,4.48,9.19,-0.57,-7.91,14.6875,37.59375,46.34375,307.40625,448.34375
5.72581148,287.527344,1962.901,280.540344,1962.90088,280.540344,2.67E-06,6.37,12,0.86,-0.78,12.9375,33.1875,40.9375,275.28125,411.375
5.72777843,286.594879,1961.78125,281.920441,1961.78064,281.920441,2.59E-06,8.29,13.13,2.36,3.18,12.6875,32.40625,38.6875,246.9375,374.125
5.68411064,285.509125,1960.4668,285.478119,1960.46582,285.478119,4.49E-06,11.53,18.15,3.26,6.09,16,38.03125,42.5,229.0625,341.03125
5.7686758,284.680725,1959.37793,289.00531,1959.36853,289.00531,3.84E-06,14.78,19.72,6,9.75,17.8125,42.40625,48.5625,231.96875,316.875
5.67692375,285.38623,1959.82312,284.743958,1959.82141,284.743958,2.82E-06,8.56,12.08,4.02,0.77,23.0625,57.78125,63.84375,257.59375,309.0625
5.62419796,283.526031,1957.6748,282.19574,1957.67407,282.19574,2.96E-06,8.07,14.73,1.78,-0.53,23.71875,60.9375,71.1875,295.8125,319.53125
5.61976099,282.560394,1956.35864,284.499817,1956.35571,284.499817,3.09E-06,9.24,14.95,3.08,4.01,21.5625,55.09375,65.28125,304.40625,342.4375
5.53645372,280.999084,1954.40894,288.163361,1954.40845,288.163361,6.09E-06,13.38,20.93,5.86,6.17,19.34375,49.34375,58.53125,285.0625,359.59375
5.52347898,279.436401,1952.39258,289.497925,1952.39246,289.497925,5.54E-06,13.63,20.86,6.22,8.1,17.25,44.75,53.3125,261.71875,354.625
5.44235325,277.78009,1950.20715,291.916504,1950.20703,291.916504,7.65E-06,16.95,23.88,7.51,7.2,15.3125,40.71875,49.1875,244.8125,334.71875
5.31099987,274.964752,1946.78259,288.834351,1946.78247,288.834351,8.22E-06,12.99,20.64,7.36,-0.1,13.5625,36.84375,45.3125,235.65625,313.03125
5.44484711,273.407349,1944.52454,292.422516,1944.52197,292.422516,5.84E-06,18.25,23.71,9.15,8.96,12.0625,33.375,41.375,226.96875,297.15625
5.73890924,274.532745,1944.87231,283.859344,1944.86304,283.859344,2.62E-06,8.26,13.54,5.2,3.38,11.34375,32.0625,39.28125,213.0625,288.21875
5.61028957,277.292053,1946.93042,282.759552,1946.92505,282.759552,1.80E-06,7.75,9.48,5.93,3.75,15.875,43.46875,48.8125,208.53125,291.5625
5.62090778,278.131317,1947.19226,280.658936,1947.19067,280.658936,2.18E-06,8.78,13.52,3.97,-0.12,16.84375,45.9375,54.71875,223.25,299.1875
5.49915218,277.274261,1945.80396,283.295227,1945.80054,283.295227,3.58E-06,8.7,14.16,3.47,0.8,15.71875,43.21875,52.15625,232.53125,301.15625
5.59392452,277.312653,1945.27747,282.488678,1945.27209,282.488678,1.63E-06,8.34,12.49,4.23,2.56,14.125,39,47.5,228.75,305.125
5.46203661,276.463074,1943.85571,286.886108,1943.85522,286.886108,5.39E-06,12.26,18.53,5.19,4.55,13.78125,37.15625,44.5625,214.625,302.9375
5.84523773,277.067352,1943.88867,286.45166,1943.84546,286.45166,1.98E-06,12.17,15.99,8.65,7.62,13.59375,36.03125,43.125,199.96875,292.1875
5.90517282,282.974945,1949.34265,284.950958,1949.28174,284.950958,4.70E-07,10.41,12.85,7.6,8.86,15.03125,40.59375,47.375,192.6875,283.71875
5.69357061,283.242889,1949.27075,286.831879,1949.24646,286.831879,3.69E-06,13.16,18.27,8.87,8.02,14.875,41.5625,50.4375,197.375,280.5625
5.80645704,284.301941,1950.02783,284.868896,1950.01196,284.868896,1.62E-06,10.24,13.55,6.63,4.58,13.46875,38.3125,47.53125,201.78125,275.9375
5.56676435,282.545807,1948.03442,285.980499,1948.03418,285.980499,7.40E-06,11.89,17.08,6.81,2.48,17.9375,49.59375,57.6875,206.90625,281.40625
5.6745286,281.924469,1947.2168,284.695038,1947.20557,284.695038,2.39E-06,10.83,14.36,8.6,6.4,17.8125,50.25,62.125,230.1875,293.5625
5.76789331,282.769257,1947.86023,283.729919,1947.83691,283.729919,1.45E-06,10.45,12.54,5.79,7.28,17.03125,46.46875,57.3125,234.71875,301.6875
5.59783602,281.885315,1946.76526,287.64798,1946.76294,287.64798,6.09E-06,13.12,19.26,7.57,7.84,15.9375,43.09375,53.15625,220.75,308.28125
5.49884844,280.196228,1944.84204,291.166534,1944.83948,291.166534,8.04E-06,15.11,21.52,9.18,7.93,14.25,38.75,48.0625,203.15625,302.65625
5.62661266,278.776855,1943.12183,287.285522,1943.08655,287.285522,4.02E-06,13,17.63,10.13,10.13,13.78125,37.6875,46,188.90625,289.46875
5.83199215,281.284576,1945.3252,284.665741,1945.26392,284.665741,5.87E-07,9.64,11.74,6.97,9.14,12.78125,35.8125,44.28125,185.71875,285.375
5.68149281,281.929047,1945.68884,284.136047,1945.6731,284.136047,1.92E-06,9.6,12.02,6.5,7.68,14.6875,42.15625,50.5,194.59375,292.71875
