asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
287.303589,42.8785706,287.303589,1.74E-05,2.14E-06,941.03,13.6,19.26,9.06,7.67,30.1875,74.625,84.75,419.96875,376.03125,510.96875
288.565582,47.7644997,288.565582,1.94E-05,2.66E-06,941.75,14.62,19.55,10,9.81,29.4375,72.09375,82.71875,452.34375,466.34375,638.46875
283.049133,19.7541599,283.049133,8.01E-06,2.15E-07,944.22,9.04,11.34,5.88,5.96,28.5625,68.96875,79.1875,448.125,521.03125,765.34375
281.732361,42.684063,281.732361,1.73E-05,1.73E-06,946.12,7.72,12.49,2.43,2.36,28.125,69.71875,80.71875,445.375,548.78125,866.09375
283.365906,36.6622353,283.365906,1.49E-05,8.94E-07,943.5,9.35,12.18,2.99,4.13,25.5,63.75,75.6875,445.25,557.4375,955.09375
282.142242,26.5941639,282.142242,1.08E-05,4.94E-07,946.83,8.36,11.03,6.02,4.18,23.34375,58.8125,69.84375,421.5,548.4375,1008.375
281.798584,42.4057922,281.798584,1.72E-05,1.33E-06,953.62,7.46,10.74,4.46,1.65,20.96875,53.1875,64.03125,397.4375,530.25,1011.84375
280.967834,19.0679588,280.967834,7.73E-06,4.09E-08,952.59,6.68,7.5,4.35,2.88,18.6875,47.5,57.46875,370,504.75,983.78125
279.381378,62.7478905,279.381378,2.54E-05,3.99E-07,963.42,6.45,10.34,1.48,-5.86,16.65625,42.625,52.125,338.40625,478.875,942.0625
277.849152,53.5752449,277.849152,2.17E-05,1.90E-06,965.75,4.94,10.33,0.74,-7.44,14.6875,37.59375,46.34375,307.40625,448.34375,897.25
280.005402,47.1512947,280.005402,1.91E-05,2.51E-06,957.8,7.96,12.61,1.6,-0.17,12.9375,33.1875,40.9375,275.28125,411.375,841.84375
282.455963,42.5622406,282.455963,1.73E-05,2.92E-06,950.47,9.24,14.75,2.4,3.75,12.6875,32.40625,38.6875,246.9375,374.125,777.4375
285.825989,56.3830261,285.825989,2.29E-05,5.60E-06,947.21,12.07,18.74,3.22,6.51,16,38.03125,42.5,229.0625,341.03125,712.46875
290.069611,63.0189095,290.069611,2.55E-05,5.51E-06,942.99,16.33,20.96,5.8,9.88,17.8125,42.40625,48.5625,231.96875,316.875,654.21875
283.437103,51.8286819,283.437103,2.10E-05,5.43E-07,949.94,10.84,13.26,8.53,1.85,23.0625,57.78125,63.84375,257.59375,309.0625,613.125
281.835754,54.366188,281.835754,2.20E-05,2.43E-06,958.84,9.3,15.4,2.29,-0.89,23.71875,60.9375,71.1875,295.8125,319.53125,601.15625
284.216064,49.5466309,284.216064,2.01E-05,3.12E-06,955.05,10.18,15.49,3.25,4.36,21.5625,55.09375,65.28125,304.40625,342.4375,623.4375
287.06485,73.8162231,287.06485,2.99E-05,7.11E-06,955.48,13.42,21.21,5.7,6.65,19.34375,49.34375,58.53125,285.0625,359.59375,668.15625
288.234009,69.6535187,288.234009,2.82E-05,7.85E-06,949.27,14.92,21.94,7.14,8.86,17.25,44.75,53.3125,261.71875,354.625,702.46875
291.408295,97.7055054,291.408295,3.96E-05,9.95E-06,942.03,17.95,24.43,8.48,8.71,15.3125,40.71875,49.1875,244.8125,334.71875,707.0625
288.449158,116.432281,288.449158,4.72E-05,1.04E-05,945.99,15.75,23.69,9.43,1.14,13.5625,36.84375,45.3125,235.65625,313.03125,694.53125
292.858307,117.273323,292.858307,4.75E-05,9.90E-06,937.4,20.41,25.4,10.58,9.86,12.0625,33.375,41.375,226.96875,297.15625,685.0625
285.112854,70.7943344,285.112854,2.87E-05,3.48E-06,944.33,10.51,16.51,7.19,3.31,11.34375,32.0625,39.28125,213.0625,288.21875,687.6875
283.676666,39.1350403,283.676666,1.59E-05,1.15E-06,947.53,9.48,11.08,8.16,4.94,15.875,43.46875,48.8125,208.53125,291.5625,705.4375
280.011139,34.3085442,280.011139,1.39E-05,7.42E-07,957.52,9.09,14.44,4.89,2.3,16.84375,45.9375,54.71875,223.25,299.1875,745.1875
282.874969,51.2008476,282.874969,2.08E-05,3.36E-06,959.94,9.76,14.9,3.37,2.08,15.71875,43.21875,52.15625,232.53125,301.15625,784.0625
283.171509,40.366127,283.171509,1.64E-05,2.03E-06,954.88,9.81,14.36,3.25,2.28,14.125,39,47.5,228.75,305.125,801.15625
287.061829,72.1364975,287.061829,2.92E-05,7.41E-06,955.22,12.93,18.82,5.15,4.85,13.78125,37.15625,44.5625,214.625,302.9375,796.03125
286.679077,24.7595367,286.679077,1.00E-05,1.59E-06,950.32,13.27,17.21,9.65,8.28,13.59375,36.03125,43.125,199.96875,292.1875,769.5625
283.885681,7.02594805,283.885681,2.85E-06,1.36E-07,949.1,10.65,13.47,7.06,8.43,15.03125,40.59375,47.375,192.6875,283.71875,733.125
287.145294,50.5906296,287.145294,2.05E-05,4.00E-06,948.18,13.42,18.4,9.22,8.47,14.875,41.5625,50.4375,197.375,280.5625,704.15625
284.811005,46.792984,284.811005,1.90E-05,5.47E-07,947.49,11.49,13.95,8.93,4.75,13.46875,38.3125,47.53125,201.78125,275.9375,679.875
286.408661,83.3415298,286.408661,3.38E-05,6.81E-06,953.65,12.4,17.34,8.13,2.35,17.9375,49.59375,57.6875,206.90625,281.40625,662
284.978119,30.726593,284.978119,1.25E-05,1.25E-06,953.39,10.73,13.01,8.13,7.2,17.8125,50.25,62.125,230.1875,293.5625,664.875
284.098297,30.2812233,284.098297,1.23E-05,1.46E-06,949.42,11.3,14.5,5.71,7.11,17.03125,46.46875,57.3125,234.71875,301.6875,677.65625
286.80835,62.7185555,286.80835,2.54E-05,6.46E-06,947,14.17,19.45,8.2,7.97,15.9375,43.09375,53.15625,220.75,308.28125,681.21875
290.747131,89.8710556,290.747131,3.64E-05,8.18E-06,946.93,16.54,22,10.63,7.81,14.25,38.75,48.0625,203.15625,302.65625,671.1875
286.807831,33.5025864,286.807831,1.36E-05,1.84E-06,954.68,12.91,15.41,11.43,9.66,13.78125,37.6875,46,188.90625,289.46875,649.40625
283.314178,5.4094286,283.314178,2.19E-06,7.19E-08,955.17,9.54,11.97,5.05,8.23,12.78125,35.8125,44.28125,185.71875,285.375,636.53125
284.345215,28.0928726,284.345215,1.14E-05,1.45E-06,946.57,10.4,13.93,6.79,8.24,14.6875,42.15625,50.5,194.59375,292.71875,657.1875
289.515747,58.9136696,289.515747,2.39E-05,6.64E-06,941.53,14.81,20.21,9.78,10,14.21875,41.78125,52.59375,219.40625,301,705.625
290.678955,39.9979782,290.678955,1.62E-05,3.80E-06,941.05,16.66,20.34,13.36,10.75,12.6875,37.40625,47.53125,229.40625,306.53125,743.75
290.954803,28.247982,290.954803,1.15E-05,2.25E-06,940.1,16.55,19.64,14.25,13.46,12.125,35.46875,44.375,221.4375,315.125,756.4375
284.911316,62.5264816,284.911316,2.54E-05,9.47E-07,949.4,11.36,15.37,8.74,1.86,13.5625,40.3125,49.21875,214.4375,318.34375,757.59375
280.952759,11.1137981,280.952759,4.51E-06,8.92E-09,952.1,6.66,8.3,5.03,4.68,13.15625,39.6875,50.1875,217.125,315.78125,756.71875
283.121063,51.8806686,283.121063,2.10E-05,3.47E-06,955.61,9.18,13.17,5.67,3.42,12.75,40.46875,51.5625,218.5,320.3125,764.96875
284.831879,59.6609573,284.831879,2.42E-05,5.39E-06,954.67,11.55,15.71,6.43,5.71,13.03125,40.90625,51.875,219.9375,326.1875,789.53125
286.292938,50.4585457,286.292938,2.05E-05,4.70E-06,950.43,13.23,16.66,9.24,8.12,15.46875,44.90625,54.625,216.71875,323.71875,802.03125
288.665009,33.5182495,288.665009,1.36E-05,2.78E-06,948.94,14.28,17.43,10.76,10.34,15.46875,44.53125,55.28125,218.6875,317.1875,793.1875
289.530945,45.2513885,289.530945,1.83E-05,4.56E-06,945.24,15.8,21.37,10,11.58,14.09375,40.625,50.8125,215.625,308.125,773.21875
291.664307,41.7083168,291.664307,1.69E-05,4.55E-06,940.95,17.56,20.48,13.42,13.27,12.625,36.78125,46.03125,204.96875,300.375,752.6875
289.209045,20.9734688,289.209045,8.50E-06,2.97E-07,940.05,15.9,17.55,13.61,11.83,16.34375,46.34375,54.625,202.40625,301.78125,745.71875
289.999023,142.671936,289.999023,5.78E-05,1.22E-05,948.76,16.9,21.45,13.47,3.97,27.8125,74.40625,86.59375,246.65625,320.0625,771.46875
286.212585,53.4410934,286.212585,2.17E-05,4.14E-06,956.45,13.35,16.84,7.68,6.09,29.78125,78.90625,97.3125,336,351.21875,838.96875
289.350922,87.6827774,289.350922,3.55E-05,1.07E-05,952.24,15.06,19.87,10.76,8.12,27.15625,71.375,88.8125,370.21875,403.78125,932.25
288.3508,25.2662182,288.3508,1.02E-05,1.76E-06,947.85,14.44,16.71,11.32,10.19,24.28125,63.5625,79.25,353.96875,452.84375,1021.03125
287.125519,76.6578064,287.125519,3.11E-05,5.21E-06,952.91,15.26,20.74,9.35,5.18,24.53125,64.125,78.25,332.4375,464.46875,1061.9062
288.850525,96.7527161,288.850525,3.92E-05,1.27E-05,953.27,15.79,21.43,9.34,7.23,22.71875,59.78125,74.34375,325.625,450.8125,1057.7188
289.982635,89.412529,289.982635,3.63E-05,1.36E-05,948.35,16.93,22.95,9.08,9.72,20.34375,53.25,66.40625,308,429.3125,1038.0312
293.590912,109.985283,293.590912,4.46E-05,1.94E-05,948.01,20.86,26.23,14.36,11.76,18.21875,47.6875,59.4375,281.28125,406.25,1012.96875
293.236786,73.8400497,293.236786,2.99E-05,1.13E-05,947.66,19.37,25.26,14.34,14.51,16.25,42.78125,53.40625,254.90625,377.875,974.09375
294.146362,99.9367065,294.146362,4.05E-05,1.58E-05,948.56,20.58,27.01,14.66,15.8,15.65625,39.90625,49.03125,231.71875,349.28125,922.5
294.998596,102.549675,294.998596,4.16E-05,1.77E-05,946.6,21.86,27.07,15.53,16.27,14.46875,36.9375,45.5,213.3125,323.09375,874.90625
296.456543,98.494133,296.456543,3.99E-05,1.61E-05,941.26,23.28,27.39,19.57,17.19,13.03125,33.625,41.4375,197.46875,298.8125,836.40625
292.444061,-10.8033094,292.444061,-4.38E-06,4.73E-08,936.6,19.84,21.95,16.57,18.07,11.78125,31.28125,38.5625,185.125,283.90625,809.9375
296.104065,104.262161,296.104065,4.23E-05,1.80E-05,934.01,22.76,28.74,17.26,17.21,17.3125,53.875,59.9375,185.25,282.71875,804.375
294.78064,194.237686,294.78064,7.88E-05,2.10E-05,940.37,21.3,24.92,16.97,8.2,17.71875,58.6875,71.9375,211.65625,280.75,824.78125
289.975464,58.9305916,289.975464,2.39E-05,5.73E-06,946.37,16.8,19.38,14.11,10.72,19.71875,62.875,76,234.71875,282.03125,872.125
289.189758,14.2804193,289.189758,5.79E-06,9.16E-07,942.9,15.52,16.63,14.72,12.81,18.90625,59.6875,74.15625,254.5625,297.09375,955.90625
292.584991,60.6865158,292.584991,2.46E-05,7.58E-06,940.84,18.87,22.75,15.43,13.84,17,53.34375,66.59375,256.1875,317.625,1029.0938
289.762573,82.920784,289.762573,3.36E-05,8.34E-06,947.25,16.59,22.01,12.66,7.85,15.15625,47.5,59.40625,245.8125,333.9375,1061.8125
291.020477,69.9008865,291.020477,2.83E-05,9.85E-06,946.66,16.62,20.62,11.97,12.18,13.5,42.34375,53.03125,230.84375,335.625,1102.5
292.817383,63.4900055,292.817383,2.57E-05,9.29E-06,944.93,19.03,21.99,16.3,13.78,12.03125,37.84375,47.4375,214.625,323.53125,1144.5625
290.625427,16.3074875,290.625427,6.61E-06,9.85E-07,942.17,17.49,19.53,16.31,13.89,11.0625,34.625,43.15625,200.03125,305.0625,1135.875
