rzsm,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,runoff
199.345291,0,277.061768,25.9320831,0,277.061768,0,0,1.05E-05,7.19E-07,2.84,8.31,-2.76,-4.75,12.9375,33.1875
198.575348,0,279.897095,25.2326813,0,279.897095,0,0,1.02E-05,1.10E-06,5.56,11.91,-1.03,0.16,12.6875,32.40625
197.613281,0,283.753387,35.1873322,0,283.753387,0,0,1.43E-05,2.37E-06,8.67,16.16,-0.29,2.4,16,38.03125
197.995132,0,286.326843,34.1489639,0,286.326843,0,0,1.38E-05,1.38E-06,10.36,15.73,1.26,6.23,17.8125,42.40625
202.037048,0,278.773651,37.8468437,0,278.773651,0,0,1.53E-05,1.44E-07,3.24,7.1,-1.75,-3.56,23.0625,57.78125
200.882812,0,277.14386,26.7463608,0,277.14386,0,0,1.08E-05,4.30E-07,2.88,8.83,-1.7,-5.18,23.71875,60.9375
199.928635,0,281.122528,27.7287998,0,281.122528,0,0,1.12E-05,1.20E-06,6.7,11.88,-0.59,0.47,21.5625,55.09375
198.738678,0,283.931061,41.600853,0,283.931061,0,0,1.69E-05,2.69E-06,10.23,16.56,1.8,1.66,19.34375,49.34375
197.423813,0,286.045898,42.6016388,0,286.045898,0,0,1.73E-05,3.56E-06,12.32,19.66,5.62,5.43,17.25,44.75
196.006088,0,288.169556,63.4398766,0,288.169556,0,0,2.57E-05,4.01E-06,12.4,21.12,2.91,1.74,15.3125,40.71875
194.386612,0,283.39621,46.3893318,0,283.39621,0,0,1.88E-05,2.27E-06,6.95,14.65,1.91,-4.27,13.5625,36.84375
194.213486,0,288.038879,54.0506096,0,288.038879,0,0,2.19E-05,2.29E-06,11.9,17.38,3.53,4.52,12.0625,33.375
198.050095,0,280.392181,42.6399574,0,280.392181,0,0,1.73E-05,3.63E-07,3.8,8.67,0.75,-0.56,11.34375,32.0625
200.208008,0,281.577362,29.1722889,0,281.577362,0,0,1.18E-05,6.71E-07,4.72,7.37,1.67,1.17,15.875,43.46875
201.043289,0,276.290314,33.604023,0,276.290314,0,0,1.36E-05,1.46E-07,2.19,6.82,-2.62,-4.52,16.84375,45.9375
199.618591,0,281.536102,39.3030663,0,281.536102,0,0,1.59E-05,1.82E-06,3.47,8.59,-1.21,-4.96,15.71875,43.21875
199.142883,0,279.572449,23.1732197,0,279.572449,0,0,9.40E-06,4.92E-07,2.66,6.75,-3.99,-0.79,14.125,39
198.068695,0,283.449982,41.5075226,0,283.449982,0,0,1.68E-05,2.93E-06,7.31,14.3,-0.92,0.21,13.78125,37.15625
197.718872,0,285.668701,40.2679901,0,285.668701,0,0,1.63E-05,1.88E-06,9.28,13.41,2.35,3.33,13.59375,36.03125
200.790207,0,283.655823,22.5491867,0,283.655823,0,0,9.14E-06,3.75E-07,8.15,11.85,3.5,5.65,15.03125,40.59375
199.92485,0,285.700226,46.0281143,0,285.700226,0,0,1.87E-05,3.58E-06,9.01,14.15,4.68,3.12,14.875,41.5625
202.208649,0,279.298828,30.8299255,0,279.298828,0,0,1.25E-05,3.56E-08,4.52,9.24,-0.67,2.1,13.46875,38.3125
201.137939,0,280.78772,45.021347,0,280.78772,0,0,1.83E-05,2.42E-06,5.01,11.27,-0.23,-4,17.9375,49.59375
199.920944,0,282.835114,33.2743263,0,282.835114,0,0,1.35E-05,1.45E-06,7.53,12.08,2.2,1.27,17.8125,50.25
199.385452,0,281.328278,24.4945679,0,281.328278,0,0,9.93E-06,6.85E-07,6.7,10.38,0.38,3.15,17.03125,46.46875
198.063019,0,285.860748,45.1488419,0,285.860748,0,0,1.83E-05,4.25E-06,10.06,17.14,2.73,4.4,15.9375,43.09375
196.326935,0,287.068512,71.7454071,0,287.068512,0,0,2.91E-05,4.58E-06,10.34,17.39,2.66,0.58,14.25,38.75
194.574631,0,286.591431,48.5484924,0,286.591431,0,0,1.97E-05,3.81E-06,9.34,14.36,4.54,3.41,13.78125,37.6875
196.57341,0,282.401337,20.7264328,0,282.401337,0,0,8.40E-06,2.01E-07,6.11,9.14,3,5.04,12.78125,35.8125
196.604553,0,283.308594,33.7580414,0,283.308594,0,0,1.37E-05,2.20E-06,8.36,14.13,3.93,4.46,14.6875,42.15625
195.294495,0,288.55011,53.7420654,0,288.55011,0,0,2.18E-05,5.11E-06,12.02,18.29,5.35,5.35,14.21875,41.78125
194.409912,0,287.259613,32.7703133,0,287.259613,0,0,1.33E-05,1.93E-06,9.86,12.84,6.05,4.46,12.6875,37.40625
195.665894,0,286.344299,30.9296627,0,286.344299,0,0,1.25E-05,1.04E-06,11.1,15.26,3.48,8.11,12.125,35.46875
197.448776,0,277.590515,36.1466293,0,277.590515,0,0,1.47E-05,1.33E-13,2.21,3.88,0.01,-5.9,13.5625,40.3125
199.361664,0,276.792236,25.782341,0,276.792236,0,0,1.05E-05,4.02E-14,0.97,3.89,-4.05,-2.96,13.15625,39.6875
201.537476,0,280.432648,32.7833138,0,280.432648,0,0,1.33E-05,1.92E-06,3.57,9.18,-3.23,-1.18,12.75,40.46875
199.887894,0,283.455414,43.2960587,0,283.455414,0,0,1.76E-05,4.06E-06,7.82,14.01,2.38,2.39,13.03125,40.90625
198.285141,0,284.703888,39.2583427,0,284.703888,0,0,1.59E-05,3.88E-06,9.33,14.5,3.99,5.06,15.46875,44.90625
197.218552,0,287.606506,33.4253387,0,287.606506,0,0,1.36E-05,3.11E-06,10.59,14.29,5.93,7.22,15.46875,44.53125
195.929565,0,290.51532,51.3326645,0,290.51532,0,0,2.08E-05,5.78E-06,14.21,19.85,8.63,9.13,14.09375,40.625
196.65358,0,290.074982,39.0939369,0,290.074982,0,0,1.58E-05,2.76E-06,13.43,16.81,10.33,10.33,12.625,36.78125
205.333984,0,285.073029,27.6039963,0,285.073029,0,0,1.12E-05,1.07E-07,9.98,13.09,5.83,8.9,16.34375,46.34375
205.924713,0,284.177856,59.0626183,0,284.177856,0,0,2.39E-05,3.32E-06,7.88,12.38,3.47,1.15,27.8125,74.40625
202.921097,0,283.065063,54.8377151,0,283.065063,0,0,2.22E-05,5.10E-06,8.8,14.67,1.27,-2.44,29.78125,78.90625
200.441284,0,286.419495,55.4914322,0,286.419495,0,0,2.25E-05,6.01E-06,10.91,15.78,5.67,2.94,27.15625,71.375
199.903778,0,286.434509,41.2250366,0,286.434509,0,0,1.67E-05,2.57E-06,10,13.65,6.59,5.92,24.28125,63.5625
200.231079,0,281.136597,51.3254128,0,281.136597,0,0,2.08E-05,2.58E-06,8.18,13.29,2.76,-3.37,24.53125,64.125
198.067963,0,284.750916,57.476944,0,284.750916,0,0,2.33E-05,6.52E-06,10.26,15.19,4.31,1.02,22.71875,59.78125
196.156128,0,287.435638,61.4732971,0,287.435638,0,0,2.49E-05,7.87E-06,12.26,18.44,3.11,5.07,20.34375,53.25
193.976624,0,288.983521,69.7796631,0,288.983521,0,0,2.83E-05,1.05E-05,13.75,20.69,6.37,3.52,18.21875,47.6875
192.994904,0,290.292542,58.7621727,0,290.292542,0,0,2.38E-05,7.83E-06,14.17,21.35,6.69,8.62,16.25,42.78125
191.736389,0,291.575928,73.7408905,0,291.575928,0,0,2.99E-05,1.15E-05,15.47,22.55,7.51,6.89,15.65625,39.90625
190.478287,0,292.780701,62.4097824,0,292.780701,0,0,2.53E-05,9.18E-06,16.18,23.03,9.51,9.98,14.46875,36.9375
189.937408,0,293.443237,50.7916489,0,293.443237,0,0,2.06E-05,6.00E-06,17.83,22.87,12.6,13.02,13.03125,33.625
195.370468,0,289.980621,18.6127644,0,289.980621,0,0,7.55E-06,3.79E-07,14.12,17.04,10.63,13.61,11.78125,31.28125
194.988388,0,294.897705,84.2232513,0,294.897705,0,0,3.41E-05,1.18E-05,18.17,24.26,12.23,12.05,17.3125,53.875
194.193207,0,288.044983,52.9899139,0,288.044983,0,0,2.15E-05,2.90E-06,12.18,15.45,8.95,5.95,17.71875,58.6875
193.842758,0,289.480682,60.932888,0,289.480682,0,0,2.47E-05,8.81E-06,13.24,19.2,8.74,7.39,19.71875,62.875
192.874435,0,290.107117,45.6790504,0,290.107117,0,0,1.85E-05,5.68E-06,13.07,15.5,10.3,8.62,18.90625,59.6875
192.086838,0,291.190765,58.0437202,0,291.190765,0,0,2.35E-05,6.86E-06,15.59,21.32,10.2,9.48,17,53.34375
190.827469,0,287.483124,46.1607208,0,287.483124,0,0,1.87E-05,4.82E-06,10.6,13.54,7.38,1.33,15.15625,47.5
189.522049,0,290.009125,59.9713554,0,290.009125,0,0,2.43E-05,9.09E-06,14.24,19.67,8.78,7.88,13.5,42.34375
188.932251,0,291.184875,50.3316994,0,291.184875,0,0,2.04E-05,5.92E-06,15.26,19.37,12.01,10.11,12.03125,37.84375
191.87413,0,287.708801,28.8587227,0,287.708801,0,0,1.17E-05,6.46E-07,12.92,15.31,10.69,10.79,11.0625,34.625
