rzsm,sd,asst,lhnf,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,runoff
197.715454,0,277.567017,45.6248245,277.567017,0,0,1.85E-05,9.73E-07,3.58,8.21,-1.81,-4.08,16.84375,45.9375,54.71875
196.292389,0,280.692963,42.1855965,280.692963,0,0,1.71E-05,1.68E-06,4.28,9.38,-0.43,-4.03,15.71875,43.21875,52.15625
195.968323,0,279.364014,21.3921032,279.364014,0,0,8.67E-06,5.83E-07,3.45,7.32,-3.33,-0.14,14.125,39,47.5
195.087952,0,284.203613,41.2428856,284.203613,0,0,1.67E-05,2.23E-06,7.84,15.01,-0.36,0.83,13.78125,37.15625,44.5625
194.760925,0,284.247314,43.3229942,284.247314,0,0,1.76E-05,2.03E-06,9.79,14.08,3.97,4.11,13.59375,36.03125,43.125
197.895752,0,283.453278,28.7404823,283.453278,0,0,1.17E-05,5.64E-07,8.98,12.86,4.38,6.12,15.03125,40.59375,47.375
197.362701,0,284.830017,41.1265793,284.830017,0,0,1.67E-05,2.41E-06,9.57,14.84,4.77,3.69,14.875,41.5625,50.4375
199.110367,0,280.389069,43.4261169,280.389069,0,0,1.76E-05,4.01E-07,5.43,9.43,-0.54,2.89,13.46875,38.3125,47.53125
197.892975,0,280.910553,40.7221947,280.910553,0,0,1.65E-05,2.31E-06,6.65,12.15,0.89,-3.44,17.9375,49.59375,57.6875
196.791214,0,282.191315,36.9284325,282.191315,0,0,1.50E-05,1.77E-06,8.09,12.47,3.32,2.05,17.8125,50.25,62.125
196.421829,0,281.104187,23.7608013,281.104187,0,0,9.63E-06,8.91E-07,7.3,10.72,1.66,3.75,17.03125,46.46875,57.3125
195.423676,0,285.851013,39.6865807,285.851013,0,0,1.61E-05,2.88E-06,10.21,17.31,3.13,4.92,15.9375,43.09375,53.15625
193.708908,0,287.804108,81.3479004,287.804108,0,0,3.30E-05,4.12E-06,11.04,18.17,2.97,1.31,14.25,38.75,48.0625
191.779709,0,285.930847,47.34058,285.930847,0,0,1.92E-05,2.93E-06,10.41,15.01,4.88,3.54,13.78125,37.6875,46
194.249115,0,281.949341,18.964592,281.949341,0,0,7.69E-06,3.78E-07,6.95,9.37,3.96,5.81,12.78125,35.8125,44.28125
194.552658,0,282.495819,25.6054592,282.495819,0,0,1.04E-05,1.56E-06,8.45,13.84,4.39,5.04,14.6875,42.15625,50.5
193.640259,0,287.380707,46.0945778,287.380707,0,0,1.87E-05,3.02E-06,12.46,18.28,6.07,6.1,14.21875,41.78125,52.59375
192.781631,0,285.649933,28.8375034,285.649933,0,0,1.17E-05,1.49E-06,10.52,13.26,6.98,4.68,12.6875,37.40625,47.53125
194.167892,0,285.848785,30.7342968,285.848785,0,0,1.25E-05,1.12E-06,12.07,16.3,5.34,8.51,12.125,35.46875,44.375
195.629898,0,278.824036,51.3097801,278.824036,0,0,2.08E-05,1.13E-06,3.47,5.23,1.43,-5.32,13.5625,40.3125,49.21875
197.405746,0,276.397125,23.8064041,276.397125,0,0,9.65E-06,2.16E-07,1.74,4.54,-1.83,-2.11,13.15625,39.6875,50.1875
199.632278,0,278.204834,23.1999245,278.204834,0,0,9.41E-06,1.30E-06,4.5,9.16,-1.63,-0.71,12.75,40.46875,51.5625
198.15567,0,282.596527,35.3632507,282.596527,0,0,1.43E-05,2.62E-06,8.3,14.4,3.02,2.92,13.03125,40.90625,51.875
196.860855,0,282.946228,28.555624,282.946228,0,0,1.16E-05,2.33E-06,9.24,14.39,4.5,5.27,15.46875,44.90625,54.625
196.026428,0,286.185486,26.533371,286.185486,0,0,1.08E-05,2.08E-06,11.22,14.43,5.99,7.54,15.46875,44.53125,55.28125
194.877914,0,289.304718,50.7768097,289.304718,0,0,2.06E-05,4.45E-06,14.66,20.32,9.37,9.54,14.09375,40.625,50.8125
195.638687,0,288.807922,36.7134132,288.807922,0,0,1.49E-05,2.00E-06,13.98,16.92,10.78,10.32,12.625,36.78125,46.03125
203.596664,0,285.263031,42.4405289,285.263031,0,0,1.72E-05,5.89E-07,10.48,14.49,6.11,8.51,16.34375,46.34375,54.625
202.619675,0,285.009308,93.6450043,285.009308,0,0,3.80E-05,7.20E-06,8.98,13.8,4.22,1.48,27.8125,74.40625,86.59375
199.214157,0,283.63562,64.1198502,283.63562,0,0,2.60E-05,5.81E-06,9.87,15.28,2.25,-1.68,29.78125,78.90625,97.3125
