asst,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,runoff
287.129883,287.129883,1.45E-05,2.62E-06,15.2,19.3,10.27,10.39,11.671875,34.570312,42.507812,229.39844,338.375,814.5156,835.3203,1050.1172
287.899933,287.899933,1.80E-05,4.59E-06,16.25,20.93,11.3,10.89,10.953125,33.21875,40.882812,233.22656,320.5625,766.90625,786.6328,991.08594
287.618225,287.618225,1.42E-05,3.51E-06,15.93,20.75,10.03,11.83,10.2890625,32.085938,39.5625,229.46094,311.29688,729.0625,745.21094,935.1875
288.480927,288.480927,1.44E-05,3.04E-06,16.42,21.14,9.87,12.06,9.859375,31.203125,38.40625,218.40625,304.2578,700.0547,713.46094,886.5156
289.874054,289.874054,2.22E-05,4.59E-06,17.21,21.86,12.03,11.72,9.6328125,30.632812,37.601562,206.39844,294.35156,672.7344,685.875,846.7031
288.796051,288.796051,2.22E-05,5.66E-06,16.47,22.09,12.06,10.46,9.9453125,31.71875,38.539062,197.77344,283.28125,645.3047,658.46094,812.625
288.833069,288.833069,2.44E-05,4.85E-06,16.66,21.68,11.75,8.87,9.6953125,31.132812,38.4375,195.8125,273.6172,621.1875,632.91406,780.6797
289.900543,289.900543,2.16E-05,3.88E-06,16.53,20.76,13.35,10.78,9.5,30.523438,37.539062,193.97656,265.71094,602.59375,612.4922,752.8281
284.539185,284.539185,1.41E-05,6.86E-08,12.61,13.64,10.82,7.11,9.890625,30.78125,37.609375,191.04688,265.85938,593.64844,600.33594,736.125
283.271271,283.271271,9.31E-06,6.29E-07,10.83,14.25,7.49,7.22,9.6796875,30.453125,37.40625,188.47656,271.9375,603.53906,603.3125,739.7031
283.558716,283.558716,1.26E-05,1.75E-06,11.72,15.68,6.33,7.09,9.40625,29.804688,36.570312,183.55469,269.375,620.4453,618.5625,758.83594
284.655579,284.655579,1.44E-05,2.56E-06,11.86,16.86,6.49,7.33,9.2890625,29.421875,36.023438,178.78906,260.23438,621.16406,625.83594,777.5156
283.104279,283.104279,1.25E-05,1.85E-06,10.87,16.98,4.55,6.86,9.1953125,29.101562,35.601562,175.25,250.375,604.4531,615.2969,780.1875
283.700043,283.700043,1.41E-05,2.28E-06,10.5,16.4,4.57,7.21,9.125,28.859375,35.296875,172.4375,241.75781,580.1953,593.46094,762.46094
284.895142,284.895142,1.48E-05,2.20E-06,11.79,16.86,5.33,6.6,9.046875,28.617188,35.015625,170.34375,235.21094,556.3281,568.9844,732.1094
283.496857,283.496857,1.87E-05,3.04E-06,11.91,18.67,6.92,4.29,8.96875,28.351562,34.695312,168.75,230.64062,537.4453,547.7344,698.8281
284.551147,284.551147,9.27E-06,8.56E-07,12.36,17.09,7.07,8.28,8.875,28.078125,34.359375,167.16406,227.28125,524.03906,532.0078,669.3203
285.6875,285.6875,1.50E-05,1.42E-06,13.25,16.64,8.13,7.08,8.8046875,27.828125,34.054688,165.64844,224.92188,514.6406,520.9297,646.4844
285.773315,285.773315,1.52E-05,2.71E-06,12.86,18.56,8.11,8.06,8.734375,27.617188,33.789062,164.14844,223.03906,508.10938,513.1719,629.9922
285.263611,285.263611,8.33E-06,1.02E-06,12.96,16.86,8.72,8.99,8.65625,27.375,33.5,162.79688,221.16406,503.1328,507.5625,618.0625
286.127747,286.127747,1.24E-05,2.29E-06,13.58,17.4,8.45,9.33,8.578125,27.109375,33.179688,161.39062,219.28906,498.60156,502.875,609.4922
284.975769,284.975769,1.15E-05,6.61E-07,12.82,16.45,9.51,8.68,8.4921875,26.851562,32.867188,160.05469,217.64844,494.26562,498.46094,602.9453
